t,timestamp,price_A,price_B,price_C
1,2026-09-08T13:56:14Z,5.0299,8.3726,2.9715
2,2026-09-08T13:57:34Z,5.1147,8.5478,2.8359
3,2026-09-08T14:05:06Z,5.1104,8.6083,2.6822
4,2026-09-08T14:37:40Z,5.2257,8.786,2.5181
5,2026-09-08T17:41:19Z,5.3885,8.6648,2.4661
6,2026-09-08T20:33:48Z,5.5411,8.6352,2.3267
7,2026-09-08T23:06:06Z,5.5385,8.7104,2.2835
8,2026-09-09T02:30:33Z,5.5992,8.8654,2.2723
9,2026-09-09T07:44:32Z,5.7069,8.7497,2.35
10,2026-09-09T12:37:21Z,5.7223,8.8603,2.4042
11,2026-09-09T16:57:30Z,5.69,8.8401,2.5858
12,2026-09-09T19:36:35Z,5.5905,8.8168,2.6806
13,2026-09-09T22:09:05Z,5.6769,8.7844,2.8264
14,2026-09-10T00:44:46Z,5.7011,8.7983,3.0648
15,2026-09-10T05:28:58Z,5.6631,8.7209,3.1473
16,2026-09-10T10:22:28Z,5.5189,8.6359,3.3211
17,2026-09-10T14:43:16Z,5.6403,8.5609,3.3657
18,2026-09-10T17:58:43Z,5.6218,8.7023,3.5155
19,2026-09-10T20:35:30Z,5.7088,8.5817,3.5768
20,2026-09-10T22:52:43Z,5.6415,8.6341,3.4954
21,2026-09-11T00:45:02Z,5.4859,8.802,3.4591
22,2026-09-11T05:30:26Z,5.3988,8.6334,3.4205
23,2026-09-11T10:23:14Z,5.1991,8.3796,3.2744
24,2026-09-11T14:46:23Z,5.2008,8.3683,3.1505
25,2026-09-11T18:04:18Z,5.1126,8.402,3.0074
26,2026-09-11T21:29:31Z,5.0158,8.2804,2.77
27,2026-09-11T23:45:55Z,4.8577,8.0706,2.5868
28,2026-09-12T02:33:31Z,4.7671,8.1499,2.4028
29,2026-09-12T07:33:08Z,4.6675,7.9524,2.339
